iter	Passed	Remaining
0	0	791
1	1	665
2	1	619
3	2	588
4	2	571
5	3	558
6	3	549
7	4	540
8	4	535
9	5	520
10	5	518
11	6	516
12	6	513
13	7	512
14	7	509
15	8	508
16	8	507
17	9	509
18	9	508
19	10	506
20	10	504
21	11	503
22	11	502
23	12	500
24	12	500
25	13	499
26	13	499
27	14	499
28	14	500
29	15	499
30	15	498
31	16	496
32	16	496
33	17	495
34	17	494
35	18	493
36	18	492
37	19	491
38	19	490
39	20	490
40	20	489
41	21	489
42	21	488
43	22	488
44	23	489
45	23	491
46	24	491
47	24	491
48	25	490
49	25	489
50	26	488
51	26	488
52	27	487
53	27	486
54	28	485
55	28	486
56	29	486
57	29	486
58	30	485
59	31	485
60	31	485
61	32	484
62	32	484
63	33	483
64	33	483
65	34	483
66	34	483
67	35	482
68	35	481
69	36	480
70	36	480
71	37	479
72	37	480
73	38	480
74	38	479
75	39	478
76	39	477
77	40	477
78	40	476
79	41	475
80	41	474
81	42	474
82	42	473
83	43	472
84	43	471
85	44	471
86	44	471
87	45	471
88	45	470
89	46	470
90	46	469
91	47	468
92	47	468
93	48	467
94	48	466
95	49	465
96	49	465
97	50	464
98	50	463
99	51	462
100	52	462
101	52	462
102	53	462
103	53	461
104	54	460
105	54	460
106	55	459
107	55	458
108	56	458
109	56	457
110	57	457
111	57	456
112	58	456
113	58	455
114	59	455
115	59	454
116	60	454
117	60	454
118	61	453
119	61	453
120	62	450
121	62	450
122	63	449
123	63	448
124	64	448
125	64	447
126	65	447
127	65	446
128	66	445
129	66	445
130	67	445
131	67	444
132	68	443
133	68	443
134	69	442
135	69	441
136	70	441
137	70	440
138	71	439
139	71	439
140	72	438
141	72	438
142	72	436
143	73	436
144	73	435
145	74	434
146	74	434
147	75	434
148	75	434
149	76	433
150	76	432
151	77	432
152	77	431
153	78	431
154	78	430
155	79	429
156	79	429
157	80	428
158	81	429
159	81	428
160	82	428
161	82	428
162	83	427
163	83	427
164	84	427
165	84	426
166	85	425
167	85	425
168	86	424
169	86	424
170	87	423
171	87	423
172	88	422
173	88	421
174	89	421
175	89	421
176	90	420
177	90	420
178	91	419
179	91	419
180	92	418
181	92	417
182	93	417
183	93	416
184	94	415
185	94	415
186	95	417
187	96	417
188	97	416
189	97	416
190	98	416
191	98	415
192	99	414
193	99	414
194	100	413
195	100	413
196	101	412
197	101	411
198	102	411
199	102	410
200	103	410
201	103	409
202	104	408
203	104	409
204	105	408
205	105	408
206	106	408
207	107	407
208	107	407
209	108	406
210	108	406
211	109	405
212	109	405
213	110	405
214	110	404
215	111	405
216	112	404
217	112	404
218	113	403
219	113	403
220	114	403
221	114	402
222	115	402
223	115	401
224	116	400
225	116	400
226	117	399
227	117	398
228	118	398
229	118	397
230	119	397
231	119	396
232	120	396
233	120	395
234	121	395
235	121	394
236	122	394
237	123	394
238	123	393
239	124	393
240	124	393
241	125	392
242	125	392
243	126	392
244	127	392
245	128	392
246	128	392
247	129	391
248	130	392
249	130	391
250	131	391
251	131	390
252	132	390
253	132	389
254	133	388
255	133	388
256	134	387
257	134	387
258	135	387
259	136	387
260	136	386
261	137	386
262	137	385
263	138	385
264	138	385
265	139	384
266	139	384
267	140	383
268	140	383
269	141	382
270	142	382
271	142	381
272	143	381
273	143	381
274	144	380
275	144	380
276	145	379
277	146	379
278	146	379
279	147	378
280	147	378
281	148	377
282	148	377
283	149	376
284	150	376
285	150	376
286	151	376
287	151	375
288	152	375
289	153	374
290	153	374
291	154	373
292	154	373
293	155	372
294	155	372
295	156	372
296	157	371
297	157	371
298	158	370
299	158	370
300	159	370
301	159	369
302	160	369
303	160	368
304	161	368
305	162	367
306	162	367
307	163	366
308	163	366
309	164	365
310	164	365
311	165	364
312	166	364
313	166	364
314	167	363
315	167	363
316	168	362
317	169	362
318	169	362
319	170	361
320	170	361
321	171	361
322	172	360
323	172	360
324	173	359
325	173	359
326	174	358
327	174	358
328	175	358
329	176	357
330	176	357
331	177	357
332	178	356
333	178	356
334	179	356
335	180	357
336	181	357
337	182	356
338	182	356
339	183	356
340	184	357
341	185	357
342	186	357
343	187	356
344	187	356
345	188	355
346	188	355
347	189	354
348	190	354
349	190	354
350	191	353
351	191	353
352	192	352
353	192	352
354	193	351
355	194	351
356	195	351
357	195	351
358	196	350
359	197	350
360	197	349
361	198	349
362	198	348
363	199	348
364	199	347
365	200	347
366	201	346
367	202	348
368	203	347
369	203	347
370	204	346
371	205	346
372	205	345
373	206	345
374	207	345
375	207	344
376	208	344
377	209	344
378	211	346
379	212	346
380	213	346
381	213	345
382	214	345
383	214	344
384	215	344
385	216	344
386	217	343
387	217	343
388	218	343
389	219	342
390	219	342
391	220	341
392	221	341
393	221	341
394	222	340
395	223	340
396	223	339
397	224	339
398	224	338
399	225	338
400	226	337
401	226	337
402	227	336
403	228	336
404	228	335
405	229	335
406	229	334
407	230	334
408	230	333
409	231	333
410	232	332
411	232	332
412	233	331
413	233	331
414	234	330
415	235	330
416	235	329
417	236	329
418	237	328
419	237	328
420	238	327
421	239	327
422	239	326
423	240	326
424	240	326
425	241	325
426	242	325
427	242	324
428	243	324
429	244	323
430	244	323
431	245	322
432	245	322
433	246	321
434	247	321
435	247	320
436	248	320
437	249	319
438	249	319
439	250	319
440	251	318
441	251	318
442	252	317
443	253	317
444	253	316
445	254	316
446	255	315
447	255	315
448	256	314
449	257	314
450	257	313
451	258	313
452	258	312
453	259	311
454	259	311
455	260	310
456	261	310
457	261	309
458	262	309
459	262	308
460	263	308
461	264	307
462	265	307
463	265	306
464	266	306
465	266	305
466	267	305
467	267	304
468	268	304
469	269	303
470	269	303
471	271	304
472	272	303
473	273	303
474	273	302
475	274	302
476	275	301
477	276	301
478	276	300
479	277	300
480	278	300
481	279	300
482	279	299
483	280	299
484	281	298
485	281	298
486	282	297
487	283	297
488	283	296
489	284	295
490	284	295
491	285	294
492	286	294
493	287	294
494	287	293
495	288	292
496	288	292
497	289	291
498	289	291
499	290	290
500	291	289
501	291	289
502	292	288
503	293	288
504	294	288
505	294	287
506	295	287
507	296	286
508	296	286
509	297	285
510	297	285
511	298	284
512	299	283
513	299	283
514	300	282
515	300	282
516	301	281
517	302	281
518	302	280
519	303	280
520	304	279
521	304	278
522	305	278
523	305	277
524	306	277
525	307	276
526	307	276
527	308	275
528	308	275
529	309	274
530	310	274
531	310	273
532	311	272
533	312	272
534	312	271
535	313	271
536	313	270
537	314	270
538	315	269
539	315	268
540	316	268
541	317	268
542	317	267
543	318	266
544	318	266
545	319	265
546	320	265
547	320	264
548	321	263
549	321	263
550	322	262
551	323	262
552	324	262
553	325	261
554	325	261
555	326	260
556	326	259
557	327	259
558	327	258
559	328	258
560	329	257
561	329	257
562	330	256
563	332	256
564	332	256
565	333	255
566	334	255
567	334	254
568	335	253
569	335	253
570	336	252
571	337	252
572	337	251
573	338	251
574	339	250
575	339	250
576	340	249
577	340	248
578	341	248
579	342	247
580	342	247
581	343	246
582	344	246
583	344	245
584	345	245
585	346	244
586	347	244
587	347	243
588	348	243
589	348	242
590	349	241
591	350	241
592	350	240
593	351	240
594	351	239
595	352	238
596	353	238
597	353	237
598	354	237
599	354	236
600	355	235
601	355	235
602	356	234
603	357	234
604	357	233
605	358	232
606	358	232
607	359	231
608	360	231
609	360	230
610	361	230
611	361	229
612	362	228
613	363	228
614	363	227
615	364	227
616	364	226
617	365	225
618	366	225
619	366	224
620	367	224
621	368	223
622	368	223
623	369	222
624	369	221
625	370	221
626	371	220
627	371	220
628	372	219
629	372	219
630	373	218
631	374	217
632	374	217
633	375	216
634	376	216
635	376	215
636	377	215
637	378	214
638	378	214
639	379	213
640	380	212
641	380	212
642	381	211
643	381	211
644	382	210
645	383	210
646	383	209
647	384	208
648	384	208
649	385	207
650	386	206
651	386	206
652	387	205
653	387	205
654	388	204
655	389	204
656	389	203
657	390	202
658	390	202
659	391	201
660	392	201
661	392	200
662	393	199
663	393	199
664	394	198
665	395	198
666	395	197
667	396	197
668	397	196
669	397	195
670	398	195
671	398	194
672	399	194
673	400	193
674	400	192
675	401	192
676	401	191
677	402	191
678	402	190
679	403	189
680	404	189
681	404	188
682	405	188
683	405	187
684	406	186
685	407	186
686	407	185
687	408	185
688	408	184
689	409	184
690	410	183
691	410	182
692	411	182
693	411	181
694	412	181
695	413	180
696	413	179
697	414	179
698	414	178
699	415	178
700	416	177
701	416	176
702	417	176
703	417	175
704	418	175
705	419	174
706	419	173
707	420	173
708	420	172
709	421	172
710	422	171
711	422	171
712	423	170
713	424	169
